RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,SOURCE OF WEALTH,SELF-MADE SCORE,RESIDENCE,CITIZENSHIP,MARITAL STATUS,CHILDREN,EDUCATION
92,Ramzi Musallam,$9 B,55,New York,Private equity,"New York, New York",FINANCE & INVESTMENTS,"Private equity, Self Made",6,United States,"Bachelor of Arts/Science, Colgate University; Master of Business Administration, University of Chicago Booth School of Business",,,
92,J. Christopher Reyes,$9 B,70,Florida,Food distribution,1,FOOD & BEVERAGE,"Food distribution, Self Made",8,"Hobe Sound, Florida",United States,Married,4,"Bachelor of Arts/Science, University of Maryland"
92,Jude Reyes,$9 B,68,Florida,Food distribution,1,FOOD & BEVERAGE,"Food distribution, Self Made",8,"Palm Beach, Florida",United States,Married,3,"Bachelor of Arts/Science, Wofford College"
92,Charles Schwab,$9 B,87,California,Discount brokerage,3,FINANCE & INVESTMENTS,"Discount brokerage, Self Made",8,"Woodside, California",United States,Married,5,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Stanford University"
96,Joe Gebbia,$8.9 B,42,Texas,Airbnb,2,TECHNOLOGY,"Airbnb, Self Made",8,"Austin, Texas",United States,In Relationship,"Bachelor of Arts/Science, Rhode Island School of Design",
96,Henry Kravis,$8.9 B,80,New York,Private equity,3,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Claremont McKenna College; Master of Business Administration, Columbia Business School"
98,Pauline MacMillan Keinath,$8.8 B,90,Missouri,Cargill,1,FOOD & BEVERAGE,Cargill,1,"St. Louis, Missouri",United States,Married,4,
99,Orlando Bravo,$8.7 B,53,Florida,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"Miami Beach, Florida",United States,Married,4,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business; Doctor of Jurisprudence, Stanford University"
99,Jimmy Haslam,$8.7 B,70,Tennessee,"Gas stations, retail",2,FASHION & RETAIL,"Gas stations, retail",3,"Knoxville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, University of Tennessee Knoxville"
99,Elizabeth Johnson,$8.7 B,61,Massachusetts,Fidelity,2,FINANCE & INVESTMENTS,Fidelity,1,"Boston, Massachusetts",United States,"Bachelor of Arts/Science, Franklin Pierce University",,
102,James Goodnight,$8.5 B,81,North Carolina,Software,2,TECHNOLOGY,"Software, Self Made",8,"Cary, North Carolina",United States,Married,3,"Bachelor of Arts/Science, North Carolina State University; Doctorate, North Carolina State University; Master of Science, North Carolina State University"
102,"Henry Nicholas, III.",$8.5 B,64,California,Semiconductors,1,TECHNOLOGY,"Semiconductors, Self Made",8,"Newport Coast, California",United States,Divorced,3,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles"
104,Marc Benioff,$8.4 B,59,California,Business software,4,TECHNOLOGY,"Business software, Self Made",8,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, University of Southern California"
105,Robert Pera,$8.3 B,46,California,Wireless networking,1,TECHNOLOGY,"Wireless networking, Self Made",8,"San Jose, California",United States,Single,"Bachelor of Arts/Science, University of California, San Diego; Master of Science, University of California, San Diego",
105,David Shaw,$8.3 B,73,New York,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",8,"New York, New York",United States,Married,3,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, San Diego"
107,Elisabeth DeLuca & family,$8.2 B,77,Florida,Subway,2,FOOD & BEVERAGE,Subway,2,"Pompano Beach, Florida",United States,Widowed,1,
108,Jack Dangermond,$8.1 B,79,California,Mapping software,2,TECHNOLOGY,"Mapping software, Self Made",8,"Redlands, California",United States,Married,"Bachelor of Arts/Science, California State Polytechnical University; Master of Science, Harvard University; Master of Science, University of Minnesota",
108,Tom Gores,$8.1 B,60,California,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"Beverly Hills, California",United States,Married,3,"Bachelor of Arts/Science, Michigan State University"
108,"Paul Tudor Jones, II.",$8.1 B,69,Florida,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",7,"Palm Beach, Florida",United States,Married,4,"Bachelor of Arts/Science, University of Virginia"
108,Steven Rales,$8.1 B,73,California,"Manufacturing, investments",2,MANUFACTURING,"Manufacturing, investments, Self Made",7,"Santa Barbara, California",United States,Married,3,"Law Degree, American University; Bachelor of Arts/Science, DePauw University"
108,Antony Ressler,$8.1 B,63,California,Finance,2,FINANCE & INVESTMENTS,"Finance, Self Made",8,"Los Angeles, California",United States,Married,3,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Georgetown University"
108,Leonard Stern,$8.1 B,86,New York,Real estate,1,REAL ESTATE,Real estate,5,"New York, New York",United States,Married,3,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University"
114,Rocco Commisso,$8 B,74,New Jersey,Telecom,1,TELECOM,"Telecom, Self Made",10,"Saddle River, New Jersey",United States,Married,2,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Columbia University"
114,Tilman Fertitta,$8 B,67,Texas,"Entertainment, Houston Rockets",2,FOOD & BEVERAGE,"Entertainment, Houston Rockets, Self Made",9,"Houston, Texas",United States,Married,4,"Drop Out, Texas Tech University; Drop Out, University of Houston"
114,David Geffen,$8 B,81,California,"Movies, record labels",3,MEDIA & ENTERTAINMENT,"Movies, record labels, Self Made",9,"Beverly Hills, California",United States,Single,"Drop Out, The University of Texas at Austin",
