RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
104,Marc Benioff,$8.4 B,59,California,Business software,4,TECHNOLOGY,"Business software, Self Made",59,8,8,4,4,"San Francisco, California",59,"Business software, Self Made",,,,
105,Robert Pera,$8.3 B,45,California,Wireless networking,1,TECHNOLOGY,"Wireless networking, Self Made",46,8,8,1,,1,46,"Wireless networking, Self Made",,,,
105,David Shaw,$8.3 B,72,New York,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",73,8,8,2,2,"New York, New York",73,"Hedge funds, Self Made",,,,
107,Elisabeth DeLuca & family,$8.2 B,76,Florida,Subway,2,FOOD & BEVERAGE,Subway,77,2,2,2,2,,77,Subway,,,,
108,Jack Dangermond,$8.1 B,78,California,Mapping software,2,TECHNOLOGY,"Mapping software, Self Made",79,8,8,2,,2,79,"Mapping software, Self Made",,,,
108,Tom Gores,$8.1 B,59,California,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",60,8,8,1,1,"Beverly Hills, California",60,"Private equity, Self Made",,,,
108,"Paul Tudor Jones, II.",$8.1 B,69,Florida,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",69,7,7,2,2,"Palm Beach, Florida",69,"Hedge funds, Self Made",,,,
108,Steven Rales,$8.1 B,72,California,"Manufacturing, investments",2,MANUFACTURING,"Manufacturing, investments, Self Made",73,7,7,2,2,"Santa Barbara, California",73,"Manufacturing, investments, Self Made",,,,
108,Antony Ressler,$8.1 B,62,California,Finance,2,FINANCE & INVESTMENTS,"Finance, Self Made",63,8,8,2,2,"Los Angeles, California",63,"Finance, Self Made",,,,
108,Leonard Stern,$8.1 B,85,New York,Real estate,1,REAL ESTATE,Real estate,86,5,5,1,1,"New York, New York",86,Real estate,,,,
114,Rocco Commisso,$8 B,73,New Jersey,Telecom,1,TELECOM,"Telecom, Self Made",74,10,10,1,1,"Saddle River, New Jersey",74,"Telecom, Self Made",,,,
114,Tilman Fertitta,$8 B,66,Texas,"Entertainment, Houston Rockets",2,FOOD & BEVERAGE,"Entertainment, Houston Rockets, Self Made",67,9,9,2,2,"Houston, Texas",67,"Entertainment, Houston Rockets, Self Made",,,,
114,David Geffen,$8 B,80,California,"Movies, record labels",3,MEDIA & ENTERTAINMENT,"Movies, record labels, Self Made",81,9,9,3,,3,81,"Movies, record labels, Self Made",,,,
114,John Morris,$8 B,75,Missouri,Sporting goods retail,3,FASHION & RETAIL,"Sporting goods retail, Self Made",76,9,9,3,3,"Springfield, Missouri",76,"Sporting goods retail, Self Made",,,,
118,Arthur Blank,$7.9 B,81,Georgia,Home Depot,3,SPORTS,"Home Depot, Self Made",81,9,9,3,3,"Atlanta, Georgia",81,"Home Depot, Self Made",,,,
